t_s,GR07_temp_c,GR07_sem_c,GR07_sigma_c,GR07_rate_hz,GR07_observable_ns,GR07_n,GR07_rejected,GR06_temp_c,GR06_sem_c,GR06_sigma_c,GR06_rate_hz,GR06_observable_ns,GR06_n,GR06_rejected
272.1585,23.392115,0.003413,2.303976,908881.022416,1100.320526,455639,0,23.022048,0.013541,0.620236,141204.847247,7081.940896,2098,0
273.7339,23.332971,0.003428,2.313383,908699.751833,1100.540571,455548,0,23.078264,0.013076,0.598946,141231.648936,7080.594852,2098,0
275.3135,23.258657,0.003437,2.319775,908471.982186,1100.816874,455434,0,22.978267,0.013040,0.597301,141183.973604,7082.985701,2098,0
276.8965,23.249122,0.003440,2.321720,908442.758127,1100.852400,455420,0,23.082494,0.013513,0.618963,141233.665576,7080.495710,2098,0
278.4735,23.282572,0.003436,2.318828,908545.282155,1100.728004,455470,0,23.038831,0.013058,0.597966,141212.848626,7081.537434,2097,0
280.0528,23.328689,0.003317,2.312417,908686.625319,1100.556414,485912,0,22.993033,0.013052,0.617459,141191.013957,7082.634495,2238,0
281.6288,23.279014,0.003431,2.315376,908534.375331,1100.741019,455465,0,22.988558,0.012950,0.593005,141188.879993,7082.739151,2097,0
283.2097,23.247979,0.003441,2.322075,908439.255324,1100.856665,455417,0,22.999520,0.013301,0.609238,141194.106344,7082.478551,2098,0
284.7878,23.245557,0.003334,2.323925,908431.832032,1100.865769,485774,0,23.018586,0.013013,0.615594,141203.196444,7082.023235,2238,0
286.3713,23.319012,0.003430,2.315120,908656.966710,1100.592493,455526,0,22.999763,0.013742,0.629431,141194.222563,7082.474738,2098,0
287.9493,23.273357,0.003227,2.318304,908517.038811,1100.762193,516184,0,23.015539,0.012580,0.613474,141201.743903,7082.095879,2378,0
289.5300,23.317151,0.003431,2.315641,908651.262371,1100.599433,455524,0,23.055603,0.013024,0.596558,141220.844917,7081.136320,2098,0
291.1110,23.394724,0.003416,2.305695,908889.018242,1100.310945,455644,0,23.053576,0.013277,0.608158,141219.878693,7081.185891,2098,0
292.6896,23.261335,0.003440,2.321263,908480.191606,1100.807012,455438,0,23.052538,0.013684,0.626792,141219.383568,7081.212583,2098,0
294.2738,23.250274,0.003440,2.321158,908446.291421,1100.848086,455421,0,22.937457,0.013020,0.596358,141164.516890,7083.961868,2098,0
295.8503,23.481245,0.003397,2.293435,909154.198925,1099.989293,455776,0,22.974239,0.013661,0.625714,141182.053492,7083.084843,2098,0
297.4296,23.277532,0.003437,2.319477,908529.834137,1100.746758,455462,0,22.885392,0.013247,0.606774,141139.694297,7085.208770,2098,0
299.0086,23.237373,0.003442,2.322572,908406.749718,1100.896087,455402,0,23.002306,0.013699,0.627471,141195.434895,7082.413727,2098,0
300.5884,23.191644,0.003445,2.324440,908266.593584,1101.066082,455331,0,22.934816,0.013387,0.613180,141163.257903,7084.026692,2098,0
302.1671,23.194728,0.003447,2.326275,908276.046325,1101.054729,455336,0,23.019601,0.013247,0.606781,141203.680462,7081.998093,2098,0
303.7484,23.210950,0.003447,2.325807,908325.766023,1100.994431,455360,0,23.049421,0.013234,0.606157,141217.897774,7081.285033,2098,0
305.3314,23.282507,0.003433,2.317216,908545.083118,1100.728152,455471,0,22.969231,0.013315,0.609865,141179.665770,7083.203051,2098,0
306.9162,23.235364,0.003439,2.320963,908400.592754,1100.903456,455398,0,23.025526,0.013379,0.612792,141206.505164,7081.857007,2098,0
308.4988,23.287640,0.003433,2.317204,908560.814039,1100.709092,455478,0,22.936370,0.013177,0.603540,141163.998792,7083.988561,2098,0
310.0827,23.094510,0.003449,2.326609,907968.885029,1101.427239,455181,0,22.990710,0.013084,0.599298,141189.906266,7082.688275,2098,0
311.6604,23.245288,0.003437,2.319618,908431.008286,1100.866517,455414,0,23.024131,0.012944,0.592734,141205.840249,7081.888412,2097,0
